2025-06-10 10:47:34.613 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:47:40.911 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:48:37.303 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:48:53.249 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:48:53.324 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:48:54.046 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:49:15.258 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:49:15.905 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:49:16.005 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:03.409 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:38.747 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:49.207 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:53.732 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:54.191 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:54.202 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:54.369 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:54.498 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:54.658 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:54.714 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:55.131 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:52:59.001 +07:00 [ERR] Checkout Cart Exception:An item with the same key has already been added. Key: Congo
2025-06-10 10:54:07.165 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:54:08.844 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:54:11.711 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:54:24.757 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:54:47.054 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:54:50.698 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:54:50.717 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:54:54.644 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:54:57.827 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:54:59.969 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:55:04.838 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:55:06.770 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:55:15.151 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:55:15.157 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:57:43.674 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:57:45.414 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:57:58.843 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:58:39.698 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:58:54.363 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:58:54.383 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:59:00.487 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:59:22.454 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:59:27.831 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:59:33.444 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 10:59:51.215 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:01:04.477 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:01:10.129 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:01:20.542 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:01:25.775 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:01:34.065 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:01:36.832 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:01:58.282 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:02:00.375 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:02:15.637 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:02:15.665 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:02:23.062 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:02:25.451 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:02:38.935 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:06:03.808 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:06:06.418 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:06:08.280 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:06:08.300 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:06:21.512 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:06:21.571 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:06:21.584 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:06:24.354 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:06:24.478 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:06:32.414 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:06:39.274 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:06:39.323 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:06:58.573 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:06:58.581 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:07:02.639 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:07:10.227 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:07:13.597 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-10 11:07:15.400 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
