2025-06-24 14:14:45.131 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:17:06.978 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:17:11.200 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:17:11.304 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:17:11.429 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:17:11.499 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:17:19.124 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:17:21.731 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:17:29.860 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:17:29.874 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:17:30.043 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:17:30.142 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:17:30.295 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:17:30.370 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:17:30.435 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:17:37.154 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:17:49.228 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:17:51.622 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:17:51.643 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:18:05.403 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:18:08.876 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:18:08.957 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:18:09.201 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:18:10.948 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:18:11.040 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:18:12.843 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:18:13.018 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:18:15.440 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:18:15.506 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:18:15.630 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:18:15.735 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:19:12.885 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:19:37.731 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
2025-06-24 14:19:37.838 +07:00 [ERR] Checkout Cart Exception:Unexpected character encountered while parsing value: {. Path 'Afghanistan', line 1, position 17.
